Ticker,Ex-Div Date,Dividend,Price on Ex-Date,Frequency,Annualized Yield,Scraped At Date,Currency
AMAX.TO,2024-02-28,0.147,14.760000228881836,,,2026-02-20,CAD
AMAX.TO,2024-03-27,0.147,17.09000015258789,,,2026-02-20,CAD
AMAX.TO,2024-04-29,0.157,18.8799991607666,,,2026-02-20,CAD
AMAX.TO,2024-05-31,0.165,19.25,,,2026-02-20,CAD
AMAX.TO,2024-06-28,0.167,18.559999465942383,,,2026-02-20,CAD
AMAX.TO,2024-07-31,0.167,20.489999771118164,,,2026-02-20,CAD
AMAX.TO,2024-08-30,0.166,19.719999313354492,,,2026-02-20,CAD
AMAX.TO,2024-09-27,0.166,20.549999237060547,,,2026-02-20,CAD
AMAX.TO,2024-10-31,0.166,21.190000534057617,,,2026-02-20,CAD
AMAX.TO,2024-11-29,0.167,19.780000686645508,,,2026-02-20,CAD
AMAX.TO,2024-12-31,0.168,18.420000076293945,,,2026-02-20,CAD
AMAX.TO,2025-01-31,0.167,20.81999969482422,,,2026-02-20,CAD
AMAX.TO,2025-02-28,0.168,21.1299991607666,,,2026-02-20,CAD
AMAX.TO,2025-03-31,0.17,23.760000228881836,,,2026-02-20,CAD
AMAX.TO,2025-04-30,0.18,24.170000076293945,,,2026-02-20,CAD
AMAX.TO,2025-05-30,0.195,24.139999389648438,,,2026-02-20,CAD
AMAX.TO,2025-06-30,0.205,24.71500015258789,,,2026-02-20,CAD
AMAX.TO,2025-07-31,0.21,24.649999618530273,,,2026-02-20,CAD
AMAX.TO,2025-08-29,0.21,28.670000076293945,,,2026-02-20,CAD
AMAX.TO,2025-09-29,0.23,33.52000045776367,,,2026-02-20,CAD
AMAX.TO,2025-10-31,0.24,31.030000686645508,,,2026-02-20,CAD
AMAX.TO,2025-11-28,0.255,35.599998474121094,,,2026-02-20,CAD
AMAX.TO,2025-12-31,0.265,35.83000183105469,,,2026-02-20,CAD
AMAX.TO,2026-01-30,0.275,37.630001068115234,,,2026-02-20,CAD
AMHE.TO,2024-09-27,0.16,12.420000076293945,,,2026-02-20,CAD
AMHE.TO,2024-10-31,0.16,12.579999923706055,,,2026-02-20,CAD
AMHE.TO,2024-11-29,0.16,14.25,,,2026-02-20,CAD
